text,abuse_type,severity,law
I suffer mental cruelty at home,mental,high,IPC 498A
Someone abuses me on social media,online,medium,IT Act Section 67
He uses bad language against me,verbal,medium,IPC 504
He controls all my decisions,mental,high,Domestic Violence Act 2005
He threatens to harm my family,mental,high,Domestic Violence Act 2005
My husband beats me regularly,physical,high,IPC 323
He threatens me constantly,mental,high,IPC 498A
My husband beats me regularly,physical,medium,IPC 323
I receive vulgar images online,online,medium,IPC 354D
He insults me in front of others,verbal,medium,Domestic Violence Act 2005
He pushed me and caused injury,physical,medium,IPC 323
He hit me with an object,physical,medium,IPC 323
Someone spreads rumors about me online,online,medium,IPC 354D
My husband beats me regularly,physical,high,Domestic Violence Act 2005
My husband mentally harasses me,mental,high,Domestic Violence Act 2005
He insults me in front of others,verbal,medium,IPC 504
I am emotionally abused every day,mental,high,IPC 498A
He kicked me during a dispute,physical,medium,IPC 323
Someone abuses me on social media,online,medium,IPC 354D
Someone spreads rumors about me online,online,high,IT Act Section 67
I am being stalked online,online,high,IT Act Section 67
Someone abuses me on social media,online,high,IT Act Section 67
I am being stalked online,online,medium,IT Act Section 67
I was physically assaulted by my spouse,physical,medium,IPC 323
He controls all my decisions,mental,high,Domestic Violence Act 2005
He hit me with an object,physical,high,IPC 323
He uses bad language against me,verbal,low,IPC 504
My ex posts obscene content about me,online,medium,IPC 354D
He threatens me constantly,mental,high,Domestic Violence Act 2005
He threatens to harm my family,mental,high,Domestic Violence Act 2005
Someone abuses me on social media,online,high,IT Act Section 67
They humiliate me repeatedly,verbal,medium,IPC 504
I receive threatening messages online,online,medium,IT Act Section 67
I am emotionally abused every day,mental,high,IPC 498A
I was physically assaulted by my spouse,physical,high,IPC 323
I am emotionally abused every day,mental,medium,IPC 506
My colleague abuses me verbally,verbal,low,IPC 504
My boss shouts at me daily,verbal,medium,Domestic Violence Act 2005
My partner hit me badly,physical,high,Domestic Violence Act 2005
He threatens me constantly,mental,high,IPC 498A
I am being stalked online,online,medium,IPC 354D
He threatens me constantly,mental,medium,IPC 506
My boss shouts at me daily,verbal,medium,IPC 504
He slapped me during an argument,physical,high,Domestic Violence Act 2005
He constantly mocks and insults me,verbal,low,IPC 504
My boss shouts at me daily,verbal,low,IPC 504
He uses bad language against me,verbal,medium,Domestic Violence Act 2005
He insults me in front of others,verbal,medium,Domestic Violence Act 2005
He insults me in front of others,verbal,medium,IPC 504
He slapped me during an argument,physical,high,IPC 323
My ex posts obscene content about me,online,medium,IPC 354D
He constantly mocks and insults me,verbal,medium,IPC 504
He pushed me and caused injury,physical,high,Domestic Violence Act 2005
I am verbally abused at work,verbal,low,IPC 504
He punched me during a fight,physical,high,Domestic Violence Act 2005
Someone spreads rumors about me online,online,medium,IPC 354D
He uses bad language against me,verbal,medium,IPC 504
My partner hit me badly,physical,high,Domestic Violence Act 2005
My ex posts obscene content about me,online,medium,IPC 354D
He insults me in front of others,verbal,low,IPC 504
My partner hit me badly,physical,high,IPC 323
He hit me with an object,physical,high,Domestic Violence Act 2005
He threatens me constantly,mental,high,IPC 498A
He hit me with an object,physical,high,IPC 323
I am emotionally abused every day,mental,medium,IPC 506
He slapped me during an argument,physical,high,IPC 323
Someone spreads rumors about me online,online,medium,IPC 354D
He hit me with an object,physical,high,Domestic Violence Act 2005
I am being stalked online,online,medium,IPC 354D
My husband mentally harasses me,mental,medium,IPC 506
Someone spreads rumors about me online,online,high,IT Act Section 67
He uses bad language against me,verbal,medium,IPC 504
He controls all my decisions,mental,medium,IPC 506
He threatens to harm my family,mental,high,IPC 498A
My husband beats me regularly,physical,high,IPC 323
My husband mentally harasses me,mental,high,IPC 498A
My in-laws torture me mentally,mental,high,IPC 498A
My husband mentally harasses me,mental,high,IPC 498A
I receive vulgar images online,online,medium,IPC 354D
I suffer mental cruelty at home,mental,high,Domestic Violence Act 2005
He threatens to harm my family,mental,high,IPC 498A
He pushed me and caused injury,physical,high,Domestic Violence Act 2005
My colleague abuses me verbally,verbal,medium,IPC 504
My ex posts obscene content about me,online,medium,IT Act Section 67
They blackmail me through messages,online,medium,IPC 354D
Someone abuses me on social media,online,medium,IPC 354D
He threatens me constantly,mental,high,IPC 498A
He hit me with an object,physical,high,Domestic Violence Act 2005
My partner hit me badly,physical,high,IPC 323
I was physically assaulted by my spouse,physical,high,IPC 323
My husband beats me regularly,physical,high,Domestic Violence Act 2005
He constantly mocks and insults me,verbal,low,IPC 504
He constantly mocks and insults me,verbal,medium,IPC 504
I am being stalked online,online,medium,IPC 354D
I was physically assaulted by my spouse,physical,high,Domestic Violence Act 2005
They blackmail me through messages,online,medium,IT Act Section 67
My husband beats me regularly,physical,high,IPC 323
He slapped me during an argument,physical,medium,IPC 323
He constantly mocks and insults me,verbal,medium,Domestic Violence Act 2005
He slapped me during an argument,physical,high,Domestic Violence Act 2005
My colleague abuses me verbally,verbal,low,IPC 504
I am verbally abused at work,verbal,low,IPC 504
I am being stalked online,online,high,IT Act Section 67
I suffer mental cruelty at home,mental,high,Domestic Violence Act 2005
I am being stalked online,online,medium,IPC 354D
I suffer mental cruelty at home,mental,high,IPC 498A
I receive vulgar images online,online,medium,IPC 354D
He controls all my decisions,mental,high,Domestic Violence Act 2005
I receive threatening messages online,online,medium,IPC 354D
My ex posts obscene content about me,online,medium,IPC 354D
I receive vulgar images online,online,medium,IT Act Section 67
My partner hit me badly,physical,medium,IPC 323
They humiliate me repeatedly,verbal,low,IPC 504
I am verbally abused at work,verbal,low,IPC 504
I am emotionally abused every day,mental,high,IPC 498A
I am verbally abused at work,verbal,medium,IPC 504
He threatens to harm my family,mental,medium,IPC 506
Someone abuses me on social media,online,medium,IPC 354D
He punched me during a fight,physical,medium,IPC 323
He threatens to harm my family,mental,high,Domestic Violence Act 2005
I receive threatening messages online,online,medium,IT Act Section 67
He threatens to harm my family,mental,high,Domestic Violence Act 2005
They humiliate me repeatedly,verbal,medium,Domestic Violence Act 2005
They humiliate me repeatedly,verbal,medium,IPC 504
My partner hit me badly,physical,medium,IPC 323
My colleague abuses me verbally,verbal,medium,Domestic Violence Act 2005
He pushed me and caused injury,physical,medium,IPC 323
Someone abuses me on social media,online,medium,IT Act Section 67
My in-laws torture me mentally,mental,medium,IPC 506
They blackmail me through messages,online,medium,IPC 354D
I receive threatening messages online,online,high,IT Act Section 67
They blackmail me through messages,online,medium,IPC 354D
He insults me in front of others,verbal,medium,Domestic Violence Act 2005
My colleague abuses me verbally,verbal,low,IPC 504
He slapped me during an argument,physical,medium,IPC 323
He threatens to harm my family,mental,high,IPC 498A
My in-laws torture me mentally,mental,high,Domestic Violence Act 2005
He threatens to harm my family,mental,medium,IPC 506
I was physically assaulted by my spouse,physical,high,IPC 323
He controls all my decisions,mental,high,Domestic Violence Act 2005
He pushed me and caused injury,physical,high,Domestic Violence Act 2005
He hit me with an object,physical,high,IPC 323
I receive vulgar images online,online,medium,IT Act Section 67
I was physically assaulted by my spouse,physical,medium,IPC 323
My husband mentally harasses me,mental,medium,IPC 506
He threatens to harm my family,mental,high,IPC 498A
My in-laws torture me mentally,mental,high,Domestic Violence Act 2005
He slapped me during an argument,physical,high,IPC 323
They humiliate me repeatedly,verbal,medium,IPC 504
My partner hit me badly,physical,high,IPC 323
I receive threatening messages online,online,medium,IT Act Section 67
I receive threatening messages online,online,high,IT Act Section 67
I am being stalked online,online,high,IT Act Section 67
He slapped me during an argument,physical,high,Domestic Violence Act 2005
My boss shouts at me daily,verbal,low,IPC 504
He constantly mocks and insults me,verbal,medium,IPC 504
My husband mentally harasses me,mental,high,Domestic Violence Act 2005
My ex posts obscene content about me,online,medium,IT Act Section 67
They blackmail me through messages,online,medium,IPC 354D
He controls all my decisions,mental,high,IPC 498A
Someone spreads rumors about me online,online,high,IT Act Section 67
Someone abuses me on social media,online,medium,IPC 354D
I was physically assaulted by my spouse,physical,high,IPC 323
My colleague abuses me verbally,verbal,medium,Domestic Violence Act 2005
I am being stalked online,online,high,IT Act Section 67
My boss shouts at me daily,verbal,low,IPC 504
He kicked me during a dispute,physical,high,Domestic Violence Act 2005
He slapped me during an argument,physical,high,IPC 323
He uses bad language against me,verbal,low,IPC 504
I receive threatening messages online,online,medium,IPC 354D
Someone spreads rumors about me online,online,medium,IPC 354D
My in-laws torture me mentally,mental,high,Domestic Violence Act 2005
I receive threatening messages online,online,medium,IPC 354D
My husband beats me regularly,physical,medium,IPC 323
He pushed me and caused injury,physical,high,Domestic Violence Act 2005
I am emotionally abused every day,mental,high,Domestic Violence Act 2005
My colleague abuses me verbally,verbal,medium,Domestic Violence Act 2005
He pushed me and caused injury,physical,medium,IPC 323
My ex posts obscene content about me,online,medium,IPC 354D
He threatens to harm my family,mental,medium,IPC 506
He controls all my decisions,mental,high,IPC 498A
He threatens to harm my family,mental,high,Domestic Violence Act 2005
He constantly mocks and insults me,verbal,medium,Domestic Violence Act 2005
He controls all my decisions,mental,medium,IPC 506
I am emotionally abused every day,mental,medium,IPC 506
My partner hit me badly,physical,high,IPC 323
My partner hit me badly,physical,high,IPC 323
I am verbally abused at work,verbal,medium,IPC 504
He slapped me during an argument,physical,high,IPC 323
My in-laws torture me mentally,mental,medium,IPC 506
My husband mentally harasses me,mental,high,IPC 498A
He insults me in front of others,verbal,medium,IPC 504
I am emotionally abused every day,mental,medium,IPC 506
He kicked me during a dispute,physical,high,Domestic Violence Act 2005
They humiliate me repeatedly,verbal,medium,Domestic Violence Act 2005
I am verbally abused at work,verbal,low,IPC 504
I receive vulgar images online,online,medium,IPC 354D
Someone abuses me on social media,online,high,IT Act Section 67
My husband beats me regularly,physical,medium,IPC 323
I am emotionally abused every day,mental,medium,IPC 506
I am emotionally abused every day,mental,high,Domestic Violence Act 2005
He pushed me and caused injury,physical,medium,IPC 323
I receive threatening messages online,online,medium,IT Act Section 67
He hit me with an object,physical,high,IPC 323
My husband beats me regularly,physical,high,IPC 323
He constantly mocks and insults me,verbal,low,IPC 504
My husband beats me regularly,physical,high,IPC 323
Someone abuses me on social media,online,medium,IPC 354D
He insults me in front of others,verbal,medium,IPC 504
I receive vulgar images online,online,medium,IT Act Section 67
He threatens to harm my family,mental,medium,IPC 506
He slapped me during an argument,physical,high,IPC 323
I am emotionally abused every day,mental,high,Domestic Violence Act 2005
Someone spreads rumors about me online,online,medium,IPC 354D
He controls all my decisions,mental,medium,IPC 506
He threatens me constantly,mental,medium,IPC 506
He threatens me constantly,mental,high,IPC 498A
They humiliate me repeatedly,verbal,low,IPC 504
My boss shouts at me daily,verbal,medium,Domestic Violence Act 2005
He threatens me constantly,mental,high,Domestic Violence Act 2005
My boss shouts at me daily,verbal,low,IPC 504
I receive threatening messages online,online,medium,IPC 354D
My colleague abuses me verbally,verbal,medium,Domestic Violence Act 2005
I suffer mental cruelty at home,mental,high,Domestic Violence Act 2005
I am being stalked online,online,medium,IT Act Section 67
I am being stalked online,online,high,IT Act Section 67
He punched me during a fight,physical,high,Domestic Violence Act 2005
He uses bad language against me,verbal,medium,Domestic Violence Act 2005
My partner hit me badly,physical,high,IPC 323
I am being stalked online,online,high,IT Act Section 67
They blackmail me through messages,online,high,IT Act Section 67
He controls all my decisions,mental,medium,IPC 506
My husband mentally harasses me,mental,high,Domestic Violence Act 2005
I receive threatening messages online,online,medium,IT Act Section 67
He slapped me during an argument,physical,high,Domestic Violence Act 2005
He kicked me during a dispute,physical,high,IPC 323
My partner hit me badly,physical,high,Domestic Violence Act 2005
They blackmail me through messages,online,medium,IPC 354D
They humiliate me repeatedly,verbal,low,IPC 504
I am verbally abused at work,verbal,medium,IPC 504
My colleague abuses me verbally,verbal,low,IPC 504
I suffer mental cruelty at home,mental,medium,IPC 506
My husband beats me regularly,physical,high,IPC 323
I am emotionally abused every day,mental,medium,IPC 506
They blackmail me through messages,online,medium,IPC 354D
He constantly mocks and insults me,verbal,low,IPC 504
He pushed me and caused injury,physical,medium,IPC 323
My husband beats me regularly,physical,high,IPC 323
He threatens me constantly,mental,medium,IPC 506
He insults me in front of others,verbal,medium,IPC 504
They humiliate me repeatedly,verbal,medium,IPC 504
They blackmail me through messages,online,medium,IPC 354D
Someone spreads rumors about me online,online,high,IT Act Section 67
He controls all my decisions,mental,medium,IPC 506
I am emotionally abused every day,mental,high,Domestic Violence Act 2005
Someone spreads rumors about me online,online,high,IT Act Section 67
I receive vulgar images online,online,high,IT Act Section 67
My husband beats me regularly,physical,medium,IPC 323
My boss shouts at me daily,verbal,low,IPC 504
He slapped me during an argument,physical,medium,IPC 323
He kicked me during a dispute,physical,medium,IPC 323
They blackmail me through messages,online,high,IT Act Section 67
He insults me in front of others,verbal,medium,IPC 504
He hit me with an object,physical,high,Domestic Violence Act 2005
He punched me during a fight,physical,medium,IPC 323
He uses bad language against me,verbal,medium,IPC 504
They humiliate me repeatedly,verbal,low,IPC 504
He constantly mocks and insults me,verbal,medium,IPC 504
He threatens to harm my family,mental,high,Domestic Violence Act 2005
My in-laws torture me mentally,mental,high,IPC 498A
He slapped me during an argument,physical,high,Domestic Violence Act 2005
He slapped me during an argument,physical,medium,IPC 323
He slapped me during an argument,physical,medium,IPC 323
He insults me in front of others,verbal,medium,IPC 504
I receive threatening messages online,online,high,IT Act Section 67
He pushed me and caused injury,physical,high,IPC 323
He uses bad language against me,verbal,low,IPC 504
I am emotionally abused every day,mental,high,IPC 498A
He threatens to harm my family,mental,high,IPC 498A
He constantly mocks and insults me,verbal,medium,IPC 504
He threatens me constantly,mental,high,Domestic Violence Act 2005
My ex posts obscene content about me,online,high,IT Act Section 67
I am verbally abused at work,verbal,medium,Domestic Violence Act 2005
They humiliate me repeatedly,verbal,medium,Domestic Violence Act 2005
I suffer mental cruelty at home,mental,high,Domestic Violence Act 2005
He constantly mocks and insults me,verbal,medium,IPC 504
My boss shouts at me daily,verbal,low,IPC 504
My husband mentally harasses me,mental,high,IPC 498A
Someone abuses me on social media,online,high,IT Act Section 67
He uses bad language against me,verbal,medium,IPC 504
He threatens me constantly,mental,high,IPC 498A
I suffer mental cruelty at home,mental,medium,IPC 506
He uses bad language against me,verbal,medium,Domestic Violence Act 2005
He constantly mocks and insults me,verbal,medium,Domestic Violence Act 2005
They humiliate me repeatedly,verbal,low,IPC 504
He threatens me constantly,mental,high,Domestic Violence Act 2005
My boss shouts at me daily,verbal,medium,Domestic Violence Act 2005
They humiliate me repeatedly,verbal,medium,IPC 504
He constantly mocks and insults me,verbal,medium,Domestic Violence Act 2005
I am verbally abused at work,verbal,medium,Domestic Violence Act 2005
I am being stalked online,online,medium,IPC 354D
He kicked me during a dispute,physical,high,Domestic Violence Act 2005
My husband mentally harasses me,mental,medium,IPC 506
My in-laws torture me mentally,mental,high,Domestic Violence Act 2005
Someone abuses me on social media,online,medium,IT Act Section 67
Someone abuses me on social media,online,medium,IT Act Section 67
My husband beats me regularly,physical,high,Domestic Violence Act 2005
He constantly mocks and insults me,verbal,medium,Domestic Violence Act 2005
They blackmail me through messages,online,high,IT Act Section 67
I was physically assaulted by my spouse,physical,medium,IPC 323
My partner hit me badly,physical,high,Domestic Violence Act 2005
He slapped me during an argument,physical,high,IPC 323
My husband beats me regularly,physical,high,IPC 323
I am being stalked online,online,medium,IT Act Section 67
My colleague abuses me verbally,verbal,low,IPC 504
He punched me during a fight,physical,medium,IPC 323
He slapped me during an argument,physical,medium,IPC 323
Someone abuses me on social media,online,medium,IPC 354D
I am verbally abused at work,verbal,medium,IPC 504
My husband mentally harasses me,mental,high,IPC 498A
Someone spreads rumors about me online,online,medium,IPC 354D
My colleague abuses me verbally,verbal,medium,Domestic Violence Act 2005
Someone abuses me on social media,online,medium,IT Act Section 67
I receive vulgar images online,online,medium,IT Act Section 67
He controls all my decisions,mental,medium,IPC 506
He uses bad language against me,verbal,medium,Domestic Violence Act 2005
Someone abuses me on social media,online,medium,IT Act Section 67
He controls all my decisions,mental,medium,IPC 506
He pushed me and caused injury,physical,medium,IPC 323
Someone abuses me on social media,online,high,IT Act Section 67
He punched me during a fight,physical,medium,IPC 323
My partner hit me badly,physical,high,IPC 323
My in-laws torture me mentally,mental,high,IPC 498A
I was physically assaulted by my spouse,physical,high,IPC 323
I receive vulgar images online,online,medium,IPC 354D
My colleague abuses me verbally,verbal,medium,Domestic Violence Act 2005
I was physically assaulted by my spouse,physical,medium,IPC 323
Someone spreads rumors about me online,online,medium,IT Act Section 67
My boss shouts at me daily,verbal,medium,IPC 504
He insults me in front of others,verbal,medium,Domestic Violence Act 2005
My colleague abuses me verbally,verbal,medium,Domestic Violence Act 2005
I receive threatening messages online,online,medium,IT Act Section 67
He slapped me during an argument,physical,medium,IPC 323
I am verbally abused at work,verbal,low,IPC 504
Someone abuses me on social media,online,medium,IT Act Section 67
They blackmail me through messages,online,high,IT Act Section 67
I was physically assaulted by my spouse,physical,high,Domestic Violence Act 2005
He constantly mocks and insults me,verbal,low,IPC 504
My in-laws torture me mentally,mental,medium,IPC 506
They blackmail me through messages,online,medium,IPC 354D
They blackmail me through messages,online,high,IT Act Section 67
He threatens to harm my family,mental,high,IPC 498A
I am verbally abused at work,verbal,medium,IPC 504
Someone spreads rumors about me online,online,medium,IPC 354D
Someone abuses me on social media,online,medium,IPC 354D
I am verbally abused at work,verbal,low,IPC 504
They humiliate me repeatedly,verbal,medium,Domestic Violence Act 2005
I suffer mental cruelty at home,mental,medium,IPC 506
He kicked me during a dispute,physical,medium,IPC 323
He pushed me and caused injury,physical,high,Domestic Violence Act 2005
He threatens me constantly,mental,medium,IPC 506
My partner hit me badly,physical,high,Domestic Violence Act 2005
My partner hit me badly,physical,high,IPC 323
I suffer mental cruelty at home,mental,high,Domestic Violence Act 2005
They humiliate me repeatedly,verbal,low,IPC 504
My boss shouts at me daily,verbal,medium,IPC 504
I was physically assaulted by my spouse,physical,high,Domestic Violence Act 2005
My husband mentally harasses me,mental,medium,IPC 506
My ex posts obscene content about me,online,medium,IT Act Section 67
He punched me during a fight,physical,high,Domestic Violence Act 2005
He slapped me during an argument,physical,high,Domestic Violence Act 2005
I suffer mental cruelty at home,mental,high,Domestic Violence Act 2005
Someone spreads rumors about me online,online,medium,IT Act Section 67
Someone spreads rumors about me online,online,medium,IPC 354D
My husband mentally harasses me,mental,medium,IPC 506
He threatens to harm my family,mental,medium,IPC 506
I am verbally abused at work,verbal,medium,Domestic Violence Act 2005
My husband mentally harasses me,mental,high,IPC 498A
Someone spreads rumors about me online,online,medium,IPC 354D
I receive vulgar images online,online,medium,IT Act Section 67
I am verbally abused at work,verbal,low,IPC 504
He threatens me constantly,mental,medium,IPC 506
He threatens to harm my family,mental,high,Domestic Violence Act 2005
He uses bad language against me,verbal,medium,Domestic Violence Act 2005
My partner hit me badly,physical,high,IPC 323
I receive threatening messages online,online,high,IT Act Section 67
My husband beats me regularly,physical,high,IPC 323
They blackmail me through messages,online,medium,IT Act Section 67
Someone abuses me on social media,online,high,IT Act Section 67
He kicked me during a dispute,physical,medium,IPC 323
Someone spreads rumors about me online,online,medium,IPC 354D
My boss shouts at me daily,verbal,medium,Domestic Violence Act 2005
He pushed me and caused injury,physical,high,IPC 323
They humiliate me repeatedly,verbal,medium,IPC 504
My husband beats me regularly,physical,medium,IPC 323
My partner hit me badly,physical,high,Domestic Violence Act 2005
I am being stalked online,online,medium,IPC 354D
He constantly mocks and insults me,verbal,medium,IPC 504
My in-laws torture me mentally,mental,high,IPC 498A
My husband beats me regularly,physical,high,IPC 323
He pushed me and caused injury,physical,high,Domestic Violence Act 2005
They humiliate me repeatedly,verbal,medium,IPC 504
He threatens to harm my family,mental,high,Domestic Violence Act 2005
He controls all my decisions,mental,high,Domestic Violence Act 2005
I receive threatening messages online,online,medium,IPC 354D
I am being stalked online,online,medium,IT Act Section 67
He threatens to harm my family,mental,medium,IPC 506
Someone abuses me on social media,online,high,IT Act Section 67
My colleague abuses me verbally,verbal,medium,Domestic Violence Act 2005
They humiliate me repeatedly,verbal,low,IPC 504
They humiliate me repeatedly,verbal,medium,Domestic Violence Act 2005
I receive threatening messages online,online,medium,IPC 354D
I was physically assaulted by my spouse,physical,medium,IPC 323
My husband mentally harasses me,mental,medium,IPC 506
My boss shouts at me daily,verbal,medium,Domestic Violence Act 2005
Someone spreads rumors about me online,online,high,IT Act Section 67
I am verbally abused at work,verbal,medium,Domestic Violence Act 2005
My partner hit me badly,physical,high,Domestic Violence Act 2005
He pushed me and caused injury,physical,medium,IPC 323
My husband beats me regularly,physical,high,IPC 323
My ex posts obscene content about me,online,high,IT Act Section 67
I receive threatening messages online,online,high,IT Act Section 67
He insults me in front of others,verbal,medium,Domestic Violence Act 2005
He uses bad language against me,verbal,medium,Domestic Violence Act 2005
They humiliate me repeatedly,verbal,low,IPC 504
Someone spreads rumors about me online,online,high,IT Act Section 67
He insults me in front of others,verbal,low,IPC 504
My ex posts obscene content about me,online,high,IT Act Section 67
He slapped me during an argument,physical,high,IPC 323
My husband beats me regularly,physical,high,Domestic Violence Act 2005
My boss shouts at me daily,verbal,medium,Domestic Violence Act 2005
I am being stalked online,online,medium,IT Act Section 67
He uses bad language against me,verbal,low,IPC 504
He hit me with an object,physical,medium,IPC 323
My husband beats me regularly,physical,medium,IPC 323
I suffer mental cruelty at home,mental,high,IPC 498A
I suffer mental cruelty at home,mental,high,IPC 498A
He uses bad language against me,verbal,medium,IPC 504
He pushed me and caused injury,physical,medium,IPC 323
He punched me during a fight,physical,medium,IPC 323
I am being stalked online,online,high,IT Act Section 67
Someone abuses me on social media,online,medium,IPC 354D
I suffer mental cruelty at home,mental,high,IPC 498A
He hit me with an object,physical,medium,IPC 323
He slapped me during an argument,physical,high,Domestic Violence Act 2005
I suffer mental cruelty at home,mental,high,IPC 498A
Someone abuses me on social media,online,high,IT Act Section 67
I receive threatening messages online,online,medium,IPC 354D
He insults me in front of others,verbal,medium,Domestic Violence Act 2005
He kicked me during a dispute,physical,high,IPC 323
I receive vulgar images online,online,high,IT Act Section 67
He constantly mocks and insults me,verbal,medium,IPC 504
He hit me with an object,physical,medium,IPC 323
He controls all my decisions,mental,medium,IPC 506
My colleague abuses me verbally,verbal,medium,Domestic Violence Act 2005
My partner hit me badly,physical,medium,IPC 323
My ex posts obscene content about me,online,medium,IT Act Section 67
My colleague abuses me verbally,verbal,medium,IPC 504
My in-laws torture me mentally,mental,medium,IPC 506
He hit me with an object,physical,high,IPC 323
He insults me in front of others,verbal,medium,Domestic Violence Act 2005
My colleague abuses me verbally,verbal,medium,IPC 504
Someone spreads rumors about me online,online,high,IT Act Section 67
I was physically assaulted by my spouse,physical,medium,IPC 323
I suffer mental cruelty at home,mental,medium,IPC 506
He uses bad language against me,verbal,medium,Domestic Violence Act 2005
He constantly mocks and insults me,verbal,low,IPC 504
My ex posts obscene content about me,online,medium,IT Act Section 67
He constantly mocks and insults me,verbal,medium,Domestic Violence Act 2005
I receive vulgar images online,online,medium,IT Act Section 67
Someone spreads rumors about me online,online,medium,IPC 354D
He controls all my decisions,mental,high,IPC 498A
He uses bad language against me,verbal,low,IPC 504
I was physically assaulted by my spouse,physical,medium,IPC 323
I suffer mental cruelty at home,mental,medium,IPC 506
He pushed me and caused injury,physical,high,Domestic Violence Act 2005
He threatens to harm my family,mental,medium,IPC 506
I receive threatening messages online,online,medium,IPC 354D
He pushed me and caused injury,physical,high,IPC 323
He constantly mocks and insults me,verbal,low,IPC 504
My boss shouts at me daily,verbal,low,IPC 504
I am being stalked online,online,high,IT Act Section 67
He pushed me and caused injury,physical,medium,IPC 323
I was physically assaulted by my spouse,physical,high,Domestic Violence Act 2005
I am being stalked online,online,high,IT Act Section 67
My husband mentally harasses me,mental,high,Domestic Violence Act 2005
My ex posts obscene content about me,online,high,IT Act Section 67
My ex posts obscene content about me,online,medium,IT Act Section 67
He threatens me constantly,mental,medium,IPC 506
I am verbally abused at work,verbal,low,IPC 504
He uses bad language against me,verbal,medium,Domestic Violence Act 2005
They blackmail me through messages,online,medium,IT Act Section 67
I am emotionally abused every day,mental,high,IPC 498A
He punched me during a fight,physical,high,IPC 323
He insults me in front of others,verbal,low,IPC 504
He uses bad language against me,verbal,medium,IPC 504
He threatens me constantly,mental,medium,IPC 506
I was physically assaulted by my spouse,physical,high,Domestic Violence Act 2005
They blackmail me through messages,online,medium,IT Act Section 67
They humiliate me repeatedly,verbal,medium,IPC 504
He uses bad language against me,verbal,medium,Domestic Violence Act 2005
He constantly mocks and insults me,verbal,medium,Domestic Violence Act 2005
I am verbally abused at work,verbal,medium,IPC 504
My partner hit me badly,physical,high,IPC 323
I receive threatening messages online,online,high,IT Act Section 67
He uses bad language against me,verbal,medium,Domestic Violence Act 2005
He pushed me and caused injury,physical,high,IPC 323
He punched me during a fight,physical,high,IPC 323
My in-laws torture me mentally,mental,high,Domestic Violence Act 2005
He hit me with an object,physical,medium,IPC 323
They blackmail me through messages,online,medium,IT Act Section 67
Someone spreads rumors about me online,online,medium,IPC 354D
My husband beats me regularly,physical,high,IPC 323
I was physically assaulted by my spouse,physical,medium,IPC 323
He controls all my decisions,mental,high,Domestic Violence Act 2005
He kicked me during a dispute,physical,medium,IPC 323
My husband beats me regularly,physical,high,IPC 323
My husband mentally harasses me,mental,medium,IPC 506
He punched me during a fight,physical,medium,IPC 323
I receive threatening messages online,online,high,IT Act Section 67
He slapped me during an argument,physical,high,Domestic Violence Act 2005
Someone abuses me on social media,online,high,IT Act Section 67
I receive vulgar images online,online,medium,IPC 354D
Someone abuses me on social media,online,high,IT Act Section 67
I am emotionally abused every day,mental,medium,IPC 506
My ex posts obscene content about me,online,high,IT Act Section 67
He controls all my decisions,mental,high,Domestic Violence Act 2005
My boss shouts at me daily,verbal,medium,Domestic Violence Act 2005
Someone spreads rumors about me online,online,medium,IPC 354D
My in-laws torture me mentally,mental,high,Domestic Violence Act 2005
My partner hit me badly,physical,medium,IPC 323
They blackmail me through messages,online,medium,IPC 354D
He threatens to harm my family,mental,medium,IPC 506
I am emotionally abused every day,mental,high,IPC 498A
My husband beats me regularly,physical,high,Domestic Violence Act 2005
He insults me in front of others,verbal,low,IPC 504
I receive vulgar images online,online,high,IT Act Section 67
He hit me with an object,physical,high,Domestic Violence Act 2005
I am emotionally abused every day,mental,high,IPC 498A
My in-laws torture me mentally,mental,high,IPC 498A
I am emotionally abused every day,mental,medium,IPC 506
He uses bad language against me,verbal,low,IPC 504
Someone spreads rumors about me online,online,medium,IT Act Section 67
My husband mentally harasses me,mental,high,Domestic Violence Act 2005
My husband beats me regularly,physical,medium,IPC 323
He insults me in front of others,verbal,medium,Domestic Violence Act 2005
Someone spreads rumors about me online,online,high,IT Act Section 67
He threatens to harm my family,mental,high,IPC 498A
My in-laws torture me mentally,mental,high,Domestic Violence Act 2005
I am emotionally abused every day,mental,medium,IPC 506
He uses bad language against me,verbal,low,IPC 504
I was physically assaulted by my spouse,physical,medium,IPC 323
They blackmail me through messages,online,medium,IT Act Section 67
I am emotionally abused every day,mental,medium,IPC 506
I am verbally abused at work,verbal,medium,IPC 504
My husband beats me regularly,physical,medium,IPC 323
They blackmail me through messages,online,medium,IPC 354D
He punched me during a fight,physical,high,Domestic Violence Act 2005
He threatens me constantly,mental,high,Domestic Violence Act 2005
He slapped me during an argument,physical,medium,IPC 323
He punched me during a fight,physical,medium,IPC 323
I receive threatening messages online,online,high,IT Act Section 67
He controls all my decisions,mental,high,Domestic Violence Act 2005
My boss shouts at me daily,verbal,low,IPC 504
My boss shouts at me daily,verbal,medium,IPC 504
I receive vulgar images online,online,high,IT Act Section 67
My partner hit me badly,physical,high,Domestic Violence Act 2005
Someone spreads rumors about me online,online,medium,IPC 354D
He punched me during a fight,physical,medium,IPC 323
I am emotionally abused every day,mental,high,IPC 498A
They humiliate me repeatedly,verbal,low,IPC 504
He hit me with an object,physical,high,Domestic Violence Act 2005
